locus_tag	ftype	length_bp	gene	EC_number	COG	product
LLGMAHPF_00351	CDS	255				hypothetical protein
LLGMAHPF_00352	CDS	135				hypothetical protein
LLGMAHPF_00353	CDS	144				hypothetical protein
LLGMAHPF_00354	CDS	435				hypothetical protein
LLGMAHPF_00355	CDS	510				hypothetical protein
LLGMAHPF_00356	CDS	141				hypothetical protein
LLGMAHPF_00357	CDS	309				hypothetical protein
LLGMAHPF_00358	CDS	198				hypothetical protein
LLGMAHPF_00359	CDS	300				hypothetical protein
LLGMAHPF_00360	CDS	1530	crtI	1.3.99.31	COG1233	Phytoene desaturase (lycopene-forming)
LLGMAHPF_00361	CDS	111				hypothetical protein
LLGMAHPF_00362	CDS	501				hypothetical protein
LLGMAHPF_00363	CDS	216				hypothetical protein
LLGMAHPF_00364	CDS	321				hypothetical protein
LLGMAHPF_00365	CDS	408				hypothetical protein
LLGMAHPF_00366	CDS	291	tatA			Sec-independent protein translocase protein TatA
LLGMAHPF_00367	CDS	240				hypothetical protein
LLGMAHPF_00368	CDS	162				hypothetical protein
LLGMAHPF_00369	CDS	450	bcpB	1.11.1.15	COG1225	Putative peroxiredoxin
LLGMAHPF_00370	CDS	273				hypothetical protein
LLGMAHPF_00371	CDS	345				hypothetical protein
LLGMAHPF_00372	CDS	105				hypothetical protein
LLGMAHPF_00373	CDS	240				hypothetical protein
LLGMAHPF_00374	CDS	417	arfB	3.1.1.29	COG1186	Peptidyl-tRNA hydrolase ArfB
LLGMAHPF_00375	CDS	249				hypothetical protein
LLGMAHPF_00376	CDS	168				hypothetical protein
LLGMAHPF_00377	CDS	261				hypothetical protein
LLGMAHPF_00378	CDS	879				hypothetical protein
LLGMAHPF_00379	CDS	834				hypothetical protein
LLGMAHPF_00380	CDS	765				hypothetical protein
LLGMAHPF_00381	CDS	153				hypothetical protein
LLGMAHPF_00382	CDS	342				hypothetical protein
LLGMAHPF_00383	CDS	102				hypothetical protein
LLGMAHPF_00384	CDS	189				hypothetical protein
LLGMAHPF_00385	CDS	1074	pip	3.4.11.5		Proline iminopeptidase
LLGMAHPF_00386	CDS	174				hypothetical protein
LLGMAHPF_00387	CDS	624	tenA	3.5.99.2	COG0819	Aminopyrimidine aminohydrolase
LLGMAHPF_00388	CDS	789	thiD	2.7.1.49	COG0351	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase
LLGMAHPF_00389	CDS	186				hypothetical protein
LLGMAHPF_00390	CDS	144				hypothetical protein
LLGMAHPF_00391	CDS	105				hypothetical protein
LLGMAHPF_00392	CDS	465				hypothetical protein
LLGMAHPF_00393	CDS	387				hypothetical protein
LLGMAHPF_00394	CDS	297				hypothetical protein
LLGMAHPF_00395	CDS	402				hypothetical protein
LLGMAHPF_00396	CDS	183				hypothetical protein
LLGMAHPF_00397	CDS	321				hypothetical protein
LLGMAHPF_00398	CDS	378				hypothetical protein
LLGMAHPF_00399	CDS	405				hypothetical protein
LLGMAHPF_00400	CDS	150				hypothetical protein
LLGMAHPF_00401	CDS	390				hypothetical protein
LLGMAHPF_00402	CDS	309				hypothetical protein
LLGMAHPF_00403	CDS	144				hypothetical protein
LLGMAHPF_00404	CDS	186				hypothetical protein
LLGMAHPF_00405	CDS	159				hypothetical protein
LLGMAHPF_00406	CDS	135				hypothetical protein
LLGMAHPF_00407	CDS	105				hypothetical protein
LLGMAHPF_00408	CDS	165				hypothetical protein
LLGMAHPF_00409	CDS	327				hypothetical protein
LLGMAHPF_00410	CDS	1686				hypothetical protein
LLGMAHPF_00411	CDS	783	nrtB		COG0600	Nitrate import permease protein NrtB
LLGMAHPF_00412	CDS	855	nrtD	7.3.2.4	COG1116	Nitrate import ATP-binding protein NrtD
LLGMAHPF_00413	CDS	444	cynS	4.2.1.104	COG1513	Cyanate hydratase
LLGMAHPF_00414	CDS	192	tatB			Sec-independent protein translocase protein TatB
LLGMAHPF_00415	CDS	324				hypothetical protein
LLGMAHPF_00416	CDS	369				hypothetical protein
LLGMAHPF_00417	CDS	264				hypothetical protein
LLGMAHPF_00418	CDS	273				hypothetical protein
LLGMAHPF_00419	CDS	147				hypothetical protein
LLGMAHPF_00420	CDS	114				hypothetical protein
LLGMAHPF_00421	CDS	156				hypothetical protein
LLGMAHPF_00422	CDS	186				hypothetical protein
LLGMAHPF_00423	CDS	282				hypothetical protein
LLGMAHPF_00424	CDS	468				hypothetical protein
LLGMAHPF_00425	CDS	213				hypothetical protein
LLGMAHPF_00426	CDS	165				hypothetical protein
LLGMAHPF_00427	CDS	507				hypothetical protein
LLGMAHPF_00428	CDS	171				hypothetical protein
LLGMAHPF_00429	CDS	783				hypothetical protein
LLGMAHPF_00430	CDS	2490				hypothetical protein
LLGMAHPF_00431	CDS	1491				hypothetical protein
LLGMAHPF_00432	CDS	645				hypothetical protein
LLGMAHPF_00433	CDS	198				hypothetical protein
LLGMAHPF_00434	CDS	219				hypothetical protein
LLGMAHPF_00435	tRNA	72				tRNA-Thr(ggt)
LLGMAHPF_00436	tRNA	83				tRNA-Tyr(gta)
LLGMAHPF_00437	CDS	441	aroQ	4.2.1.10		3-dehydroquinate dehydratase
LLGMAHPF_00438	CDS	609				hypothetical protein
LLGMAHPF_00439	CDS	756	cbiL	2.1.1.151	COG2243	Cobalt-precorrin-2 C(20)-methyltransferase
LLGMAHPF_00440	CDS	483				hypothetical protein
LLGMAHPF_00441	CDS	1377	der_1		COG1160	GTPase Der
LLGMAHPF_00442	CDS	915	ecfT			Energy-coupling factor transporter transmembrane protein EcfT
LLGMAHPF_00443	CDS	267				hypothetical protein
LLGMAHPF_00444	CDS	639	yggS		COG0325	Pyridoxal phosphate homeostasis protein
LLGMAHPF_00445	CDS	576	sepF		COG1799	Cell division protein SepF
LLGMAHPF_00446	CDS	807	proC	1.5.1.2	COG0345	Pyrroline-5-carboxylate reductase
LLGMAHPF_00447	CDS	1167	bshA	2.4.1.-	COG0438	N-acetyl-alpha-D-glucosaminyl L-malate synthase
LLGMAHPF_00448	CDS	780	recO			DNA repair protein RecO
LLGMAHPF_00449	CDS	660	deoC	4.1.2.4		Deoxyribose-phosphate aldolase
LLGMAHPF_00450	CDS	585	hpf		COG1544	Ribosome hibernation promotion factor
LLGMAHPF_00451	CDS	645	lipB	2.3.1.181	COG0321	Octanoyltransferase
LLGMAHPF_00452	CDS	1926		6.2.1.3	COG1022	Long-chain-fatty-acid--CoA ligase FadD15
LLGMAHPF_00453	CDS	447				hypothetical protein
LLGMAHPF_00454	CDS	312				hypothetical protein
LLGMAHPF_00455	CDS	144				hypothetical protein
LLGMAHPF_00456	CDS	195				hypothetical protein
LLGMAHPF_00457	CDS	1368	odhB	2.3.1.61		Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex
LLGMAHPF_00458	CDS	1125	queA	2.4.99.17	COG0809	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
LLGMAHPF_00459	CDS	987	cysK	2.5.1.47	COG0031	Cysteine synthase A
LLGMAHPF_00460	CDS	1470	besB	4.5.1.-		L-2-amino-4-chloropent-4-enoate dechlorinase/desaturase
LLGMAHPF_00461	CDS	1164	metB	2.5.1.48	COG0626	Cystathionine gamma-synthase
LLGMAHPF_00462	CDS	609	rpsD		COG0522	30S ribosomal protein S4
LLGMAHPF_00463	CDS	303				hypothetical protein
LLGMAHPF_00464	CDS	1536	murE_1	6.3.2.13	COG0769	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
LLGMAHPF_00465	CDS	705				hypothetical protein
LLGMAHPF_00466	CDS	1182	sufS	2.8.1.7	COG0520	Cysteine desulfurase SufS
LLGMAHPF_00467	CDS	795	arsM	2.1.1.137		Arsenite methyltransferase
LLGMAHPF_00468	CDS	261				hypothetical protein
LLGMAHPF_00469	CDS	246	nfuA			Fe/S biogenesis protein NfuA
LLGMAHPF_00470	CDS	1494	mqo	1.1.5.4	COG0579	Malate:quinone oxidoreductase
LLGMAHPF_00471	CDS	1809	lepA	3.6.5.-		Elongation factor 4
LLGMAHPF_00472	CDS	834	gsiD		COG1173	Glutathione transport system permease protein GsiD
LLGMAHPF_00473	CDS	672	trmH	2.1.1.34	COG0566	tRNA (guanosine(18)-2'-O)-methyltransferase
LLGMAHPF_00474	CDS	204				hypothetical protein
LLGMAHPF_00475	CDS	393				hypothetical protein
LLGMAHPF_00476	CDS	237				hypothetical protein
LLGMAHPF_00477	CDS	1491	phrB	4.1.99.13	COG3046	(6-4) photolyase
LLGMAHPF_00478	CDS	1314	rsmB	2.1.1.176	COG0144	Ribosomal RNA small subunit methyltransferase B
LLGMAHPF_00479	CDS	1764	pbpF		COG0744	Penicillin-binding protein 1F
LLGMAHPF_00480	CDS	948	menA_2	2.5.1.74		1,4-dihydroxy-2-naphthoate octaprenyltransferase
LLGMAHPF_00481	CDS	231				hypothetical protein
LLGMAHPF_00482	CDS	768	hisF	4.3.2.10	COG0107	Imidazole glycerol phosphate synthase subunit HisF
LLGMAHPF_00483	CDS	702	menG	2.1.1.163		Demethylmenaquinone methyltransferase
LLGMAHPF_00484	CDS	435				hypothetical protein
LLGMAHPF_00485	CDS	750	birA	6.3.4.15		Bifunctional ligase/repressor BirA
LLGMAHPF_00486	CDS	687	yknY	3.6.3.-	COG1136	putative ABC transporter ATP-binding protein YknY
LLGMAHPF_00487	CDS	1521	ndhB	7.1.1.-	COG1007	NAD(P)H-quinone oxidoreductase subunit 2
LLGMAHPF_00488	CDS	2613	topA	5.6.2.1	COG0550	DNA topoisomerase 1
LLGMAHPF_00489	CDS	585				hypothetical protein
LLGMAHPF_00490	CDS	639				hypothetical protein
LLGMAHPF_00491	CDS	1158				hypothetical protein
LLGMAHPF_00492	CDS	993				hypothetical protein
LLGMAHPF_00493	CDS	1146				hypothetical protein
LLGMAHPF_00494	CDS	660	ribE	2.5.1.9	COG0307	Riboflavin synthase
LLGMAHPF_00495	CDS	354				hypothetical protein
LLGMAHPF_00496	CDS	603	ctaE	1.9.3.1	COG1845	Cytochrome c oxidase subunit 3
LLGMAHPF_00497	CDS	1626	ctaD	1.9.3.1	COG0843	putative cytochrome c oxidase subunit 1
LLGMAHPF_00498	CDS	804				hypothetical protein
LLGMAHPF_00499	CDS	936	ctaA	1.3.-.-		Heme A synthase
LLGMAHPF_00500	CDS	999	ctaB	2.5.1.141	COG0109	Protoheme IX farnesyltransferase
LLGMAHPF_00501	CDS	1017	drrA	3.6.3.-		Daunorubicin/doxorubicin resistance ATP-binding protein DrrA
LLGMAHPF_00502	CDS	825				hypothetical protein
LLGMAHPF_00503	CDS	513				hypothetical protein
LLGMAHPF_00504	CDS	1746	groL2			60 kDa chaperonin 2
LLGMAHPF_00505	CDS	180				hypothetical protein
LLGMAHPF_00506	CDS	750	fabG	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase
LLGMAHPF_00507	CDS	672	ispD	2.7.7.60	COG1211	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
LLGMAHPF_00508	CDS	873	ykfA	3.4.16.-	COG1619	putative murein peptide carboxypeptidase
LLGMAHPF_00509	CDS	888	COQ2	2.5.1.39		4-hydroxybenzoate polyprenyltransferase, mitochondrial
LLGMAHPF_00510	CDS	1599	ppx	3.6.1.11	COG0248	Exopolyphosphatase
LLGMAHPF_00511	CDS	492				hypothetical protein
LLGMAHPF_00512	CDS	756	cbiF	2.1.1.271	COG2875	Cobalt-precorrin-4 C(11)-methyltransferase
LLGMAHPF_00513	CDS	894	lgt	2.5.1.145		Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase
LLGMAHPF_00514	CDS	981	petA			Cytochrome f
LLGMAHPF_00515	CDS	537	petC1	7.1.1.6	COG0723	Cytochrome b6-f complex iron-sulfur subunit 1
LLGMAHPF_00516	CDS	318				hypothetical protein
LLGMAHPF_00517	CDS	759	tatC		COG0805	Sec-independent protein translocase protein TatC
LLGMAHPF_00518	CDS	261				hypothetical protein
LLGMAHPF_00519	CDS	1725	rqcH			Rqc2 RqcH
LLGMAHPF_00520	CDS	555	gmk	2.7.4.8	COG0194	Guanylate kinase
LLGMAHPF_00521	CDS	135	psaJ			Photosystem I reaction center subunit IX
LLGMAHPF_00522	CDS	555	psaF			Photosystem I reaction center subunit III
LLGMAHPF_00523	CDS	1071	tsaD	2.3.1.234	COG0533	tRNA N6-adenosine threonylcarbamoyltransferase
LLGMAHPF_00524	CDS	183				hypothetical protein
LLGMAHPF_00525	CDS	1200	nhaH			Na(+)/H(+) antiporter NhaH
LLGMAHPF_00526	CDS	1437	gltX	6.1.1.17	COG0008	Glutamate--tRNA ligase
LLGMAHPF_00527	tRNA	76				tRNA-Asp(gtc)
LLGMAHPF_00528	CDS	189				hypothetical protein
LLGMAHPF_00529	tRNA	75				tRNA-Trp(cca)
LLGMAHPF_00530	CDS	483				hypothetical protein
LLGMAHPF_00531	CDS	309				hypothetical protein
LLGMAHPF_00532	CDS	894	map	3.4.11.18	COG0024	Methionine aminopeptidase 1
LLGMAHPF_00533	CDS	714	MgdE	5.1.3.34		Monoglucosyldiacylglycerol epimerase
LLGMAHPF_00534	CDS	1110				hypothetical protein
LLGMAHPF_00535	CDS	513				hypothetical protein
LLGMAHPF_00536	CDS	498				hypothetical protein
LLGMAHPF_00537	CDS	204				hypothetical protein
LLGMAHPF_00538	CDS	807				hypothetical protein
LLGMAHPF_00539	CDS	1302	hemL	5.4.3.8	COG0001	Glutamate-1-semialdehyde 2,1-aminomutase
LLGMAHPF_00540	CDS	846	xthA	3.1.11.2	COG0708	Exodeoxyribonuclease III
LLGMAHPF_00541	CDS	297				hypothetical protein
LLGMAHPF_00542	CDS	600				hypothetical protein
LLGMAHPF_00543	CDS	1224	larC	4.99.1.12		Pyridinium-3,5-bisthiocarboxylic acid mononucleotide nickel insertion protein
LLGMAHPF_00544	CDS	945				hypothetical protein
LLGMAHPF_00545	CDS	1596				hypothetical protein
LLGMAHPF_00546	CDS	1095	yciC_1		COG0523	Putative metal chaperone YciC
LLGMAHPF_00547	CDS	291	phhB	4.2.1.96	COG2154	Putative pterin-4-alpha-carbinolamine dehydratase
LLGMAHPF_00548	CDS	486				hypothetical protein
LLGMAHPF_00549	CDS	1506		3.4.17.19	COG2317	Thermostable carboxypeptidase 1
LLGMAHPF_00550	CDS	588	ppa_1	3.6.1.1		Inorganic pyrophosphatase
LLGMAHPF_00551	CDS	951	hemC	2.5.1.61	COG0181	Porphobilinogen deaminase
LLGMAHPF_00552	CDS	1191	sigA		COG0568	RNA polymerase sigma factor SigA
LLGMAHPF_00553	CDS	2274	priA	3.6.4.-		primosomal protein N'
LLGMAHPF_00554	CDS	1107				hypothetical protein
LLGMAHPF_00555	CDS	855	argB	2.7.2.8	COG0548	Acetylglutamate kinase
LLGMAHPF_00556	CDS	531				hypothetical protein
LLGMAHPF_00557	CDS	183				hypothetical protein
LLGMAHPF_00558	CDS	450				Single-stranded DNA-binding protein
LLGMAHPF_00559	CDS	810	cbiJ	1.3.1.106	COG2099	Cobalt-precorrin-6A reductase
LLGMAHPF_00560	CDS	327	cutA		COG1324	Divalent-cation tolerance protein CutA
LLGMAHPF_00561	CDS	1017	iolC	2.7.1.92	COG0524	5-dehydro-2-deoxygluconokinase
LLGMAHPF_00562	CDS	1311	purA	6.3.4.4	COG0104	Adenylosuccinate synthetase
LLGMAHPF_00563	CDS	438				Photosystem II lipoprotein Psb27
LLGMAHPF_00564	CDS	1803	proS	6.1.1.15	COG0442	Proline--tRNA ligase
LLGMAHPF_00565	CDS	351				hypothetical protein
LLGMAHPF_00566	CDS	255				hypothetical protein
LLGMAHPF_00567	CDS	549	ppa_2	3.6.1.1		Inorganic pyrophosphatase
LLGMAHPF_00568	CDS	369	mgsR		COG1393	Regulatory protein MgsR
LLGMAHPF_00569	CDS	687	lepB	3.4.21.89	COG0681	Signal peptidase I
LLGMAHPF_00570	CDS	1215	pyrC_1	3.5.2.3	COG0044	Dihydroorotase
LLGMAHPF_00571	CDS	1329	gpmA	5.4.2.11		2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
LLGMAHPF_00572	CDS	1359				hypothetical protein
LLGMAHPF_00573	CDS	432				hypothetical protein
LLGMAHPF_00574	CDS	1752	spoVD		COG0768	Stage V sporulation protein D
LLGMAHPF_00575	CDS	1002	tal	2.2.1.2	COG0176	Transaldolase
LLGMAHPF_00576	CDS	1134				hypothetical protein
LLGMAHPF_00577	CDS	549	frr		COG0233	Ribosome-recycling factor
LLGMAHPF_00578	CDS	705	pyrH	2.7.4.22		Uridylate kinase
LLGMAHPF_00579	CDS	696	cobO	2.5.1.17		Corrinoid adenosyltransferase
LLGMAHPF_00580	CDS	1170				hypothetical protein
LLGMAHPF_00581	CDS	1176	hemH	4.99.1.1	COG0276	Ferrochelatase
LLGMAHPF_00582	CDS	1764	ilvG	2.2.1.6		Acetolactate synthase isozyme 2 large subunit
LLGMAHPF_00583	CDS	354				hypothetical protein
LLGMAHPF_00584	CDS	783				hypothetical protein
LLGMAHPF_00585	CDS	906				hypothetical protein
LLGMAHPF_00586	CDS	1218	pnp_1	2.7.7.8		Polyribonucleotide nucleotidyltransferase
LLGMAHPF_00587	CDS	798	mftE	3.5.-.-	COG1402	Putative mycofactocin system creatinine amidohydrolase family protein MftE
LLGMAHPF_00588	CDS	717		4.1.99.5		Aldehyde decarbonylase
LLGMAHPF_00589	CDS	1041		1.2.1.80	COG5322	Long-chain acyl-[acyl-carrier-protein] reductase
LLGMAHPF_00590	CDS	1008	accA	2.1.3.15	COG0825	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
LLGMAHPF_00591	CDS	708		1.1.1.393	COG1028	3-beta-hydroxycholanate 3-dehydrogenase (NADP(+))
LLGMAHPF_00592	CDS	741	folE	3.5.4.16		GTP cyclohydrolase 1
LLGMAHPF_00593	CDS	663	trpF	5.3.1.24	COG0135	N-(5'-phosphoribosyl)anthranilate isomerase
LLGMAHPF_00594	CDS	1227	rip3		COG0517	Putative zinc metalloprotease Rip3
LLGMAHPF_00595	CDS	708	lipM	2.3.1.181	COG0095	Octanoyltransferase LipM
LLGMAHPF_00596	CDS	105	psaM			Photosystem I reaction center subunit XII
LLGMAHPF_00597	CDS	348				hypothetical protein
LLGMAHPF_00598	CDS	1005				hypothetical protein
LLGMAHPF_00599	CDS	888	chlL	1.3.7.7	COG1348	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein
LLGMAHPF_00600	CDS	1581	chlB	1.3.7.7	COG2710	Light-independent protochlorophyllide reductase subunit B
LLGMAHPF_00601	CDS	1257	chlN	1.3.7.7	COG2710	Light-independent protochlorophyllide reductase subunit N
LLGMAHPF_00602	CDS	369				hypothetical protein
LLGMAHPF_00603	CDS	771				hypothetical protein
LLGMAHPF_00604	CDS	588		3.6.1.66	COG0127	dITP/XTP pyrophosphatase
LLGMAHPF_00605	CDS	312	ccmK		COG4577	Carbon dioxide-concentrating mechanism protein CcmK
LLGMAHPF_00606	CDS	1416	cbbL	4.1.1.39	COG1850	Ribulose bisphosphate carboxylase large chain
LLGMAHPF_00607	CDS	342	cbbS2	4.1.1.39	COG4451	Ribulose bisphosphate carboxylase small chain 2
LLGMAHPF_00608	CDS	2298				hypothetical protein
LLGMAHPF_00609	CDS	1530				hypothetical protein
LLGMAHPF_00610	CDS	267				hypothetical protein
LLGMAHPF_00611	CDS	249	eutN		COG4576	Ethanolamine utilization protein EutN
LLGMAHPF_00612	CDS	240				hypothetical protein
LLGMAHPF_00613	CDS	228				hypothetical protein
LLGMAHPF_00614	CDS	393	yabJ	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
LLGMAHPF_00615	CDS	741	gloB	3.1.2.6	COG0491	Hydroxyacylglutathione hydrolase GloB
LLGMAHPF_00616	CDS	648	hisG	2.4.2.17	COG0040	ATP phosphoribosyltransferase
LLGMAHPF_00617	CDS	1797			COG1132	putative ABC transporter ATP-binding protein
LLGMAHPF_00618	CDS	531				hypothetical protein
LLGMAHPF_00619	CDS	684				hypothetical protein
LLGMAHPF_00620	CDS	609				hypothetical protein
LLGMAHPF_00621	CDS	1392	dnaA		COG0593	Chromosomal replication initiator protein DnaA
LLGMAHPF_00622	CDS	1239				hypothetical protein
LLGMAHPF_00623	CDS	1380	garB	1.8.1.16		Glutathione amide reductase
LLGMAHPF_00624	CDS	1080				hypothetical protein
LLGMAHPF_00625	CDS	1050	pyrC_2	3.5.2.3	COG0418	Dihydroorotase
LLGMAHPF_00626	tRNA	88				tRNA-Leu(taa)
LLGMAHPF_00627	CDS	234	ndhL	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit L
LLGMAHPF_00628	CDS	321				hypothetical protein
LLGMAHPF_00629	CDS	840	trpA	4.2.1.20	COG0159	Tryptophan synthase alpha chain
LLGMAHPF_00630	CDS	276				hypothetical protein
LLGMAHPF_00631	CDS	117				hypothetical protein
LLGMAHPF_00632	CDS	273				hypothetical protein
LLGMAHPF_00633	CDS	321				hypothetical protein
LLGMAHPF_00634	CDS	375				hypothetical protein
LLGMAHPF_00635	CDS	924	sigA2_1		COG0568	RNA polymerase sigma factor SigA2
LLGMAHPF_00636	CDS	666	hisI	3.5.4.19		Histidine biosynthesis bifunctional protein HisIE
LLGMAHPF_00637	CDS	465				hypothetical protein
LLGMAHPF_00638	CDS	2583	clpB1_2		COG0542	Chaperone protein ClpB 1
LLGMAHPF_00639	CDS	351	petE		COG3794	Plastocyanin
LLGMAHPF_00640	CDS	984				hypothetical protein
LLGMAHPF_00641	CDS	1041	hemE	4.1.1.37	COG0407	Uroporphyrinogen decarboxylase
LLGMAHPF_00642	CDS	2265	glgB	2.4.1.18	COG0296	1,4-alpha-glucan branching enzyme GlgB
LLGMAHPF_00643	CDS	1578	cocE	3.1.1.84		Cocaine esterase
LLGMAHPF_00644	CDS	267				hypothetical protein
LLGMAHPF_00645	CDS	408				hypothetical protein
LLGMAHPF_00646	CDS	444				hypothetical protein
LLGMAHPF_00647	CDS	3945				hypothetical protein
LLGMAHPF_00648	CDS	1413	proA	1.2.1.41	COG0014	Gamma-glutamyl phosphate reductase
LLGMAHPF_00649	CDS	363	folB	4.1.2.25	COG1539	Dihydroneopterin aldolase
LLGMAHPF_00650	CDS	594				hypothetical protein
LLGMAHPF_00651	CDS	2088	prlC	3.4.24.70	COG0339	Oligopeptidase A
LLGMAHPF_00652	CDS	1551	ndhD1_2	7.1.1.-	COG1008	NAD(P)H-quinone oxidoreductase chain 4 1
LLGMAHPF_00653	CDS	1017	thrB	2.7.1.39	COG0083	Homoserine kinase
LLGMAHPF_00654	CDS	1038	glk	2.7.1.2	COG0837	Glucokinase
LLGMAHPF_00655	CDS	1917	thrS	6.1.1.3	COG0441	Threonine--tRNA ligase
LLGMAHPF_00656	CDS	1017	trpS	6.1.1.2	COG0180	Tryptophan--tRNA ligase
LLGMAHPF_00657	CDS	456				hypothetical protein
LLGMAHPF_00658	CDS	1326				hypothetical protein
LLGMAHPF_00659	CDS	903			COG0803	putative periplasmic iron-binding protein
LLGMAHPF_00660	CDS	765	mntB_1		COG1121	Manganese transport system ATP-binding protein MntB
LLGMAHPF_00661	CDS	873	mntB_2			Manganese transport system membrane protein MntB
LLGMAHPF_00662	CDS	1167				hypothetical protein
LLGMAHPF_00663	CDS	339				hypothetical protein
LLGMAHPF_00664	CDS	585	sipS	3.4.21.89	COG0681	Signal peptidase I S
LLGMAHPF_00665	CDS	1767	menD	2.2.1.9		2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase
LLGMAHPF_00666	CDS	858	menB	4.1.3.36	COG0447	1,4-dihydroxy-2-naphthoyl-CoA synthase
LLGMAHPF_00667	CDS	1452	glgA	2.4.1.21	COG0297	Glycogen synthase
LLGMAHPF_00668	CDS	1371	murF	6.3.2.10	COG0770	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
LLGMAHPF_00669	CDS	1350	glmU		COG1207	Bifunctional protein GlmU
LLGMAHPF_00670	CDS	906	mnmC_1	2.1.1.61		tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC
LLGMAHPF_00671	CDS	1317	aroA1	2.5.1.19	COG0128	3-phosphoshikimate 1-carboxyvinyltransferase 1
LLGMAHPF_00672	CDS	624	comB	3.1.3.71	COG2045	putative 2-phosphosulfolactate phosphatase
LLGMAHPF_00673	CDS	813	nit1	3.5.1.128		Deaminated glutathione amidase
LLGMAHPF_00674	CDS	1089				hypothetical protein
LLGMAHPF_00675	CDS	795	murI	5.1.1.3		Glutamate racemase
LLGMAHPF_00676	CDS	972	hepT	2.5.1.30	COG0142	Heptaprenyl diphosphate synthase component 2
LLGMAHPF_00677	CDS	1983	acsA	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
LLGMAHPF_00678	CDS	723				hypothetical protein
LLGMAHPF_00679	CDS	780	polC	2.7.7.7		DNA polymerase III PolC-type
LLGMAHPF_00680	CDS	414				hypothetical protein
LLGMAHPF_00681	CDS	1290	hisS	6.1.1.21	COG0124	Histidine--tRNA ligase
LLGMAHPF_00682	CDS	255				hypothetical protein
LLGMAHPF_00683	CDS	303				hypothetical protein
LLGMAHPF_00684	CDS	237				hypothetical protein
LLGMAHPF_00685	CDS	177				hypothetical protein
LLGMAHPF_00686	CDS	1059	pcbA			Divinyl chlorophyll a/b light-harvesting protein PcbA
LLGMAHPF_00687	CDS	1374				hypothetical protein
LLGMAHPF_00688	CDS	258				hypothetical protein
LLGMAHPF_00689	CDS	660				hypothetical protein
LLGMAHPF_00690	CDS	543				hypothetical protein
LLGMAHPF_00691	CDS	708	bacC	1.1.1.385		Dihydroanticapsin 7-dehydrogenase
LLGMAHPF_00692	CDS	1284	crtL_1	5.5.1.19		Lycopene beta cyclase
LLGMAHPF_00693	CDS	1002				hypothetical protein
LLGMAHPF_00694	CDS	1032				hypothetical protein
LLGMAHPF_00695	CDS	558				hypothetical protein
LLGMAHPF_00696	CDS	453	perR		COG0735	Peroxide operon regulator
LLGMAHPF_00697	CDS	933	moaA			GTP 3',8-cyclase
LLGMAHPF_00698	CDS	1212	stpA	3.1.3.69		Glucosylglycerol-phosphate phosphatase
LLGMAHPF_00699	CDS	1509				hypothetical protein
LLGMAHPF_00700	CDS	660				hypothetical protein
LLGMAHPF_00701	CDS	1329	oah1	2.5.1.-	COG2873	O-acetyl-L-homoserine sulfhydrylase 1
LLGMAHPF_00702	CDS	891	metAA	2.3.1.31	COG1897	Homoserine O-acetyltransferase
LLGMAHPF_00703	CDS	1569				hypothetical protein
LLGMAHPF_00704	CDS	1278				hypothetical protein
LLGMAHPF_00705	CDS	1143				hypothetical protein
LLGMAHPF_00706	CDS	258				hypothetical protein
LLGMAHPF_00707	CDS	1647	mpdB	1.1.1.400		2-methyl-1,2-propanediol dehydrogenase
LLGMAHPF_00708	CDS	474				Pentapeptide repeat protein Rfr32
LLGMAHPF_00709	CDS	387				hypothetical protein
LLGMAHPF_00710	CDS	498				hypothetical protein
LLGMAHPF_00711	CDS	378				hypothetical protein
LLGMAHPF_00712	CDS	153				hypothetical protein
LLGMAHPF_00713	CDS	390	gloA	4.4.1.5	COG0346	Lactoylglutathione lyase
LLGMAHPF_00714	CDS	435				hypothetical protein
LLGMAHPF_00715	CDS	330				hypothetical protein
LLGMAHPF_00716	CDS	597				hypothetical protein
LLGMAHPF_00717	CDS	201				hypothetical protein
LLGMAHPF_00718	CDS	237				hypothetical protein
LLGMAHPF_00719	CDS	291				hypothetical protein
LLGMAHPF_00720	CDS	723	rluF	5.4.99.-	COG1187	Dual-specificity RNA pseudouridine synthase RluF
LLGMAHPF_00721	tRNA	90				tRNA-Ser(tga)
LLGMAHPF_00722	CDS	750	ligA	6.5.1.2		DNA ligase
